image_path,food_area_ratio,hue_mean,saturation_mean,value_mean,brown_ratio,golden_ratio,lab_l,lab_a,lab_b
potato_20251027_141132/images/t0000.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0001.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0002.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0003.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0004.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0005.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0006.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0007.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0008.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0009.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0010.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0011.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0012.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0013.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0014.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0015.jpg,0.0682,22.58,80.08,77.69,0.9119,0.9762,77.88,127.10,140.00
potato_20251027_141132/images/t0016.jpg,0.2281,23.22,150.12,63.43,0.9510,1.0000,59.27,127.26,147.28
potato_20251027_141132/images/t0017.jpg,0.0490,22.34,187.87,45.23,0.9611,1.0000,38.11,128.24,144.68
potato_20251027_141132/images/t0018.jpg,0.0407,20.62,154.17,43.77,0.9923,0.9967,36.70,128.93,140.87
potato_20251027_141132/images/t0019.jpg,0.0217,22.13,204.98,48.62,0.9876,1.0000,40.53,128.59,146.55
potato_20251027_141132/images/t0020.jpg,0.0100,23.65,191.26,48.70,0.9061,0.9983,42.89,127.29,146.77
potato_20251027_141132/images/t0021.jpg,0.0895,22.50,166.88,45.40,0.9560,0.9999,39.33,128.00,143.34
potato_20251027_141132/images/t0022.jpg,0.0864,22.75,215.03,43.98,0.9578,0.9999,36.15,128.27,145.81
potato_20251027_141132/images/t0023.jpg,0.1096,21.92,216.66,45.52,0.9805,1.0000,36.66,129.10,146.10
potato_20251027_141132/images/t0024.jpg,0.0656,20.89,134.34,43.42,0.9632,0.9970,37.65,128.45,139.72
potato_20251027_141132/images/t0025.jpg,0.0923,23.32,199.73,43.87,0.9423,1.0000,37.31,127.59,145.17
potato_20251027_141132/images/t0026.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
potato_20251027_141132/images/t0027.jpg,0.0275,23.46,164.44,41.17,0.9354,1.0000,35.75,127.45,142.21
potato_20251027_141132/images/t0028.jpg,0.0000,0.00,0.00,0.00,0.0000,0.0000,0.00,0.00,0.00
