timestamp,elapsed_time,oil_temp,fryer_temp,is_complete
1761541893.39,0.45,169.70,175.10,False
1761541893.94,1.01,169.05,174.44,False
1761541894.95,2.01,170.09,174.86,False
1761541895.95,3.01,170.03,174.95,False
1761541896.95,4.01,169.92,175.03,False
1761541897.95,5.01,170.39,175.32,False
1761541898.95,6.01,169.46,174.49,False
1761541899.95,7.01,170.11,175.10,False
1761541900.96,8.02,169.33,174.61,False
1761541901.96,9.02,169.12,174.57,False
1761541902.95,10.01,169.22,174.73,False
1761541903.95,11.02,169.38,175.36,False
1761541904.95,12.02,169.21,174.94,False
1761541905.96,13.02,168.60,175.29,False
1761541906.96,14.02,169.76,174.61,False
1761541907.96,15.02,169.38,174.19,False
1761541908.96,16.02,168.74,174.61,False
1761541909.96,17.02,168.90,174.34,False
1761541910.97,18.03,169.02,174.12,False
1761541911.96,19.02,169.42,174.83,False
1761541912.96,20.02,169.23,174.20,False
1761541913.96,21.03,168.84,173.78,False
1761541914.96,22.03,168.37,174.14,False
1761541915.96,23.03,170.06,174.77,False
1761541916.97,24.03,168.60,174.58,False
1761541917.97,25.03,168.48,174.57,False
1761541918.97,26.03,168.15,174.22,False
1761541919.97,27.03,169.73,174.38,False
1761541920.97,28.03,169.21,173.84,False
